start_station,end_station,count,start_lat,start_lon,end_lat,end_lon
Harry Bridges Plaza (Ferry Building),Golden Gate at Polk,51,37.795392,-122.394203,37.781332,-122.418603
2nd at South Park,Golden Gate at Polk,26,37.782259,-122.392738,37.781332,-122.418603
Embarcadero at Folsom,Golden Gate at Polk,13,37.791464,-122.391034,37.781332,-122.418603
Spear at Folsom,Golden Gate at Polk,27,37.790302,-122.390637,37.781332,-122.418603
2nd at Townsend,Golden Gate at Polk,25,37.780526,-122.390288,37.781332,-122.418603
Embarcadero at Bryant,Golden Gate at Polk,7,37.787152,-122.388013,37.781332,-122.418603
South Van Ness at Market,San Francisco City Hall,94,37.774814,-122.418954,37.77865,-122.418235
Golden Gate at Polk,San Francisco City Hall,30,37.781332,-122.418603,37.77865,-122.418235
San Francisco City Hall,San Francisco City Hall,131,37.77865,-122.418235,37.77865,-122.418235
Market at 10th,San Francisco City Hall,43,37.776619,-122.417385,37.77865,-122.418235
Civic Center BART (7th at Market),San Francisco City Hall,49,37.781039,-122.411748,37.77865,-122.418235
Powell at Post (Union Square),San Francisco City Hall,61,37.788446,-122.408499,37.77865,-122.418235
Powell Street BART,San Francisco City Hall,152,37.783871,-122.408433,37.77865,-122.418235
Grant Avenue at Columbus Avenue,San Francisco City Hall,49,37.7979,-122.405942,37.77865,-122.418235
5th at Howard,San Francisco City Hall,36,37.781752,-122.405127,37.77865,-122.418235
Market at 4th,San Francisco City Hall,97,37.786305,-122.404966,37.77865,-122.418235
Washington at Kearny,San Francisco City Hall,25,37.795425,-122.404767,37.77865,-122.418235
Post at Kearny,San Francisco City Hall,48,37.788975,-122.403452,37.77865,-122.418235
Embarcadero at Sansome,San Francisco City Hall,27,37.80477,-122.403234,37.77865,-122.418235
5th St at Folsom St,San Francisco City Hall,2,37.780148,-122.403158,37.77865,-122.418235
Commercial at Montgomery,San Francisco City Hall,100,37.794231,-122.402923,37.77865,-122.418235
Townsend at 7th,San Francisco City Hall,43,37.771058,-122.402717,37.77865,-122.418235
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco City Hall,34,37.784878,-122.401014,37.77865,-122.418235
Broadway St at Battery St,San Francisco City Hall,17,37.798541,-122.400862,37.77865,-122.418235
Market at Sansome,San Francisco City Hall,119,37.789625,-122.400811,37.77865,-122.418235
Clay at Battery,San Francisco City Hall,12,37.795001,-122.39997,37.77865,-122.418235
Mechanics Plaza (Market at Battery),San Francisco City Hall,53,37.7913,-122.399051,37.77865,-122.418235
Embarcadero at Vallejo,San Francisco City Hall,6,37.799953,-122.398525,37.77865,-122.418235
Davis at Jackson,San Francisco City Hall,9,37.79728,-122.398436,37.77865,-122.418235
Howard at 2nd,San Francisco City Hall,69,37.786978,-122.398108,37.77865,-122.418235
Beale at Market,San Francisco City Hall,24,37.792251,-122.397086,37.77865,-122.418235
2nd at Folsom,San Francisco City Hall,37,37.785299,-122.396236,37.77865,-122.418235
San Francisco Caltrain 2 (330 Townsend),San Francisco City Hall,178,37.7766,-122.39547,37.77865,-122.418235
San Francisco Caltrain (Townsend at 4th),San Francisco City Hall,87,37.776617,-122.39526,37.77865,-122.418235
Temporary Transbay Terminal (Howard at Beale),San Francisco City Hall,44,37.789756,-122.394643,37.77865,-122.418235
Steuart at Market,San Francisco City Hall,32,37.794139,-122.394434,37.77865,-122.418235
Harry Bridges Plaza (Ferry Building),San Francisco City Hall,48,37.795392,-122.394203,37.77865,-122.418235
2nd at South Park,San Francisco City Hall,18,37.782259,-122.392738,37.77865,-122.418235
Embarcadero at Folsom,San Francisco City Hall,13,37.791464,-122.391034,37.77865,-122.418235
Spear at Folsom,San Francisco City Hall,15,37.790302,-122.390637,37.77865,-122.418235
2nd at Townsend,San Francisco City Hall,59,37.780526,-122.390288,37.77865,-122.418235
Embarcadero at Bryant,San Francisco City Hall,8,37.787152,-122.388013,37.77865,-122.418235
South Van Ness at Market,Market at 10th,73,37.774814,-122.418954,37.776619,-122.417385
Golden Gate at Polk,Market at 10th,232,37.781332,-122.418603,37.776619,-122.417385
San Francisco City Hall,Market at 10th,42,37.77865,-122.418235,37.776619,-122.417385
Market at 10th,Market at 10th,177,37.776619,-122.417385,37.776619,-122.417385
Civic Center BART (7th at Market),Market at 10th,249,37.781039,-122.411748,37.776619,-122.417385
Cyril Magnin St at Ellis St,Market at 10th,5,37.785908,-122.408891,37.776619,-122.417385
Powell at Post (Union Square),Market at 10th,172,37.788446,-122.408499,37.776619,-122.417385
Powell Street BART,Market at 10th,783,37.783871,-122.408433,37.776619,-122.417385
Grant Avenue at Columbus Avenue,Market at 10th,83,37.7979,-122.405942,37.776619,-122.417385
5th at Howard,Market at 10th,149,37.781752,-122.405127,37.776619,-122.417385
Market at 4th,Market at 10th,523,37.786305,-122.404966,37.776619,-122.417385
Washington at Kearny,Market at 10th,97,37.795425,-122.404767,37.776619,-122.417385
Post at Kearny,Market at 10th,153,37.788975,-122.403452,37.776619,-122.417385
Embarcadero at Sansome,Market at 10th,110,37.80477,-122.403234,37.776619,-122.417385
5th St at Folsom St,Market at 10th,2,37.780148,-122.403158,37.776619,-122.417385
Commercial at Montgomery,Market at 10th,120,37.794231,-122.402923,37.776619,-122.417385
Townsend at 7th,Market at 10th,408,37.771058,-122.402717,37.776619,-122.417385
Yerba Buena Center of the Arts (3rd @ Howard),Market at 10th,140,37.784878,-122.401014,37.776619,-122.417385
Broadway St at Battery St,Market at 10th,35,37.798541,-122.400862,37.776619,-122.417385
Market at Sansome,Market at 10th,228,37.789625,-122.400811,37.776619,-122.417385
Clay at Battery,Market at 10th,39,37.795001,-122.39997,37.776619,-122.417385
Mechanics Plaza (Market at Battery),Market at 10th,261,37.7913,-122.399051,37.776619,-122.417385
Embarcadero at Vallejo,Market at 10th,13,37.799953,-122.398525,37.776619,-122.417385
Davis at Jackson,Market at 10th,51,37.79728,-122.398436,37.776619,-122.417385
Howard at 2nd,Market at 10th,143,37.786978,-122.398108,37.776619,-122.417385
Beale at Market,Market at 10th,139,37.792251,-122.397086,37.776619,-122.417385
2nd at Folsom,Market at 10th,166,37.785299,-122.396236,37.776619,-122.417385
San Francisco Caltrain 2 (330 Townsend),Market at 10th,1525,37.7766,-122.39547,37.776619,-122.417385
San Francisco Caltrain (Townsend at 4th),Market at 10th,890,37.776617,-122.39526,37.776619,-122.417385
Temporary Transbay Terminal (Howard at Beale),Market at 10th,340,37.789756,-122.394643,37.776619,-122.417385
Steuart at Market,Market at 10th,74,37.794139,-122.394434,37.776619,-122.417385
Harry Bridges Plaza (Ferry Building),Market at 10th,217,37.795392,-122.394203,37.776619,-122.417385
2nd at South Park,Market at 10th,142,37.782259,-122.392738,37.776619,-122.417385
Embarcadero at Folsom,Market at 10th,19,37.791464,-122.391034,37.776619,-122.417385
Spear at Folsom,Market at 10th,145,37.790302,-122.390637,37.776619,-122.417385
2nd at Townsend,Market at 10th,76,37.780526,-122.390288,37.776619,-122.417385
Embarcadero at Bryant,Market at 10th,25,37.787152,-122.388013,37.776619,-122.417385
South Van Ness at Market,Civic Center BART (7th at Market),187,37.774814,-122.418954,37.781039,-122.411748
Golden Gate at Polk,Civic Center BART (7th at Market),49,37.781332,-122.418603,37.781039,-122.411748
San Francisco City Hall,Civic Center BART (7th at Market),44,37.77865,-122.418235,37.781039,-122.411748
